,gene,Mut-S1,Mut-S2,Mut-S3,Mut-S4,Mut-S5,DESeq-S1,DESeq-S2,DESeq-S3,DESeq-S4,DESeq-S5,Correlation,P-value
90,ENSG00000137177.19,0.00,0.00,0.00,3.37,0.00,-0.90,-0.90,-1.10,-1.51,-1.05,-0.93,0.02
91,ENSG00000145996.11,0.00,0.00,0.00,3.03,0.00,0.29,0.23,0.30,-0.12,0.34,-0.98,0.00
92,ENSG00000079691.17,0.00,0.00,0.00,1.53,0.00,0.91,0.75,0.76,0.44,0.91,-0.91,0.03
93,ENSG00000204304.11,0.00,0.00,0.00,2.53,0.00,0.25,0.23,0.08,-0.27,0.33,-0.93,0.02
94,ENSG00000064999.13,0.00,0.00,1.64,7.70,0.00,0.33,0.36,0.29,0.11,0.43,-0.94,0.02
95,ENSG00000124496.12,0.00,0.00,1.07,17.00,0.00,-0.88,-0.99,-1.13,-1.40,-0.92,-0.92,0.03
96,ENSG00000124571.17,0.00,0.00,2.10,7.85,0.00,1.45,1.44,1.30,1.07,1.33,-0.95,0.01
97,ENSG00000198087.7,0.00,0.00,2.20,7.52,0.00,2.31,2.23,2.02,1.86,2.14,-0.91,0.03
98,ENSG00000118482.11,0.00,0.00,3.31,6.68,0.00,0.12,0.15,-0.24,-0.27,0.01,-0.91,0.03
99,ENSG00000168438.14,0.00,0.00,0.94,2.50,0.00,-0.02,0.03,-0.17,-0.26,-0.01,-0.95,0.01
100,ENSG00000146350.13,0.00,0.00,0.36,0.00,0.00,0.24,0.33,-0.22,0.42,0.58,-0.91,0.03
101,ENSG00000120438.11,0.00,0.00,0.00,0.72,0.00,0.69,0.79,0.76,0.43,0.78,-0.97,0.01
102,ENSG00000112592.13,0.00,0.00,0.00,1.23,0.00,0.48,0.49,0.48,0.37,0.45,-0.94,0.02
103,ENSG00000136261.14,0.00,0.00,0.00,3.26,0.00,-0.09,-0.07,-0.08,-0.57,-0.19,-0.97,0.00
104,ENSG00000015676.17,0.00,0.00,0.00,0.81,0.00,-0.84,-0.87,-0.96,-1.26,-0.99,-0.93,0.02
105,ENSG00000106683.14,0.00,0.00,0.00,5.52,0.00,-1.34,-1.25,-1.37,-1.89,-1.48,-0.94,0.02
106,ENSG00000106665.15,0.00,0.00,0.00,3.11,0.00,-1.76,-1.74,-1.72,-2.13,-1.77,-0.99,0.00
107,ENSG00000106330.11,0.00,0.00,0.00,0.54,0.00,-0.62,-0.59,-0.74,-1.06,-0.70,-0.95,0.01
108,ENSG00000077063.10,0.00,0.00,2.10,4.93,0.00,7.56,7.54,7.18,6.86,7.26,-0.91,0.03
109,ENSG00000174697.4,0.00,0.00,0.65,0.00,0.00,1.58,0.95,-2.24,1.07,1.39,-0.99,0.00
110,ENSG00000064419.13,0.00,0.00,0.00,4.94,0.00,0.51,0.50,0.61,0.27,0.56,-0.95,0.02
111,ENSG00000106459.14,0.00,0.00,0.00,8.61,0.00,0.30,0.29,0.23,-0.01,0.20,-0.94,0.02
112,ENSG00000122779.17,0.00,0.00,0.00,8.94,0.00,3.64,3.57,3.37,2.86,3.35,-0.91,0.03
113,ENSG00000104299.14,0.00,0.00,0.00,0.46,0.00,0.08,0.04,0.13,-0.14,0.03,-0.91,0.03
114,ENSG00000129691.15,0.00,0.00,0.30,1.73,0.00,0.08,0.15,0.04,-0.15,0.20,-0.94,0.02
115,ENSG00000104738.16,0.00,0.00,0.64,6.83,0.00,1.33,1.34,1.48,1.00,1.43,-0.91,0.03
116,ENSG00000137574.10,0.00,0.00,0.00,3.71,0.00,1.15,1.13,1.00,0.61,1.03,-0.96,0.01
117,ENSG00000164944.11,0.00,0.00,4.03,12.53,0.00,-0.80,-0.72,-0.84,-1.01,-0.69,-0.94,0.02
118,ENSG00000175895.3,0.00,0.00,0.00,2.63,0.00,-0.32,-0.40,-0.49,-0.78,-0.33,-0.94,0.02
119,ENSG00000104341.16,0.00,0.00,0.00,0.62,0.00,2.04,1.88,2.00,1.45,2.02,-0.97,0.01
120,ENSG00000064313.11,0.00,0.00,0.64,7.57,0.00,-0.57,-0.47,-0.55,-0.84,-0.55,-0.96,0.01
121,ENSG00000137124.7,0.00,0.00,1.35,3.81,0.00,1.04,1.15,0.88,0.71,1.07,-0.96,0.01
122,ENSG00000119139.18,0.00,0.00,0.00,5.69,0.00,3.00,3.14,2.88,2.52,2.96,-0.91,0.03
123,ENSG00000196305.17,0.00,0.00,0.00,3.13,0.00,0.36,0.31,0.30,-0.02,0.34,-0.99,0.00
124,ENSG00000136824.18,0.00,0.00,0.00,3.88,0.00,-0.17,-0.22,-0.24,-0.54,-0.20,-0.99,0.00
125,ENSG00000095203.14,0.00,0.00,1.58,6.19,0.00,6.49,6.40,6.44,6.16,6.47,-0.95,0.01
126,ENSG00000136848.16,0.00,0.00,2.37,23.21,0.00,-0.91,-0.96,-1.09,-1.24,-0.98,-0.90,0.04
127,ENSG00000165209.18,0.00,0.00,1.12,20.69,0.00,3.10,3.08,2.98,2.78,3.09,-0.95,0.01
128,ENSG00000130559.18,0.00,0.00,0.00,2.91,0.00,0.33,0.31,0.38,0.13,0.37,-0.96,0.01
129,ENSG00000057608.16,0.00,0.00,0.00,0.56,0.00,-0.05,-0.06,-0.11,-0.70,-0.20,-0.97,0.00
130,ENSG00000152455.15,0.00,0.00,0.00,2.92,0.00,1.02,0.99,0.87,0.32,0.83,-0.96,0.01
131,ENSG00000136758.18,0.00,0.00,0.00,0.46,0.00,-0.40,-0.40,-0.41,-0.79,-0.47,-0.98,0.00
132,ENSG00000120539.14,0.00,0.00,0.00,3.56,0.00,0.72,0.63,0.63,0.47,0.68,-0.92,0.03
133,ENSG00000108094.14,0.00,0.00,0.00,3.66,0.00,-0.44,-0.54,-0.52,-0.74,-0.46,-0.93,0.02
134,ENSG00000224812.2,0.00,0.00,0.40,0.67,0.00,-1.95,-1.94,-2.81,-4.27,-1.19,-0.95,0.01
135,ENSG00000266524.2,0.00,0.00,0.00,0.46,0.00,0.55,0.23,0.36,-1.17,-0.22,-0.91,0.03
136,ENSG00000107625.12,0.00,0.00,0.00,3.68,0.00,-0.19,-0.16,-0.34,-0.62,-0.29,-0.91,0.03
137,ENSG00000026103.21,0.00,0.00,0.00,0.81,0.00,-1.73,-1.70,-1.74,-2.13,-1.77,-0.99,0.00
138,ENSG00000148680.15,0.00,0.00,0.78,7.25,0.00,5.34,5.21,5.10,3.98,5.08,-0.98,0.00
139,ENSG00000138160.5,0.00,0.00,0.00,6.91,0.00,0.11,0.17,-0.06,-0.36,0.03,-0.91,0.03
140,ENSG00000138190.16,0.00,0.00,0.50,9.40,0.00,-0.51,-0.52,-0.48,-1.10,-0.72,-0.92,0.03
141,ENSG00000095587.8,0.00,0.00,1.18,8.53,0.00,2.68,2.55,2.52,2.26,2.59,-0.95,0.01
142,ENSG00000166167.17,0.00,0.00,0.00,6.68,0.00,0.36,0.23,0.19,-0.18,0.31,-0.95,0.01
143,ENSG00000107829.13,0.00,0.00,0.68,4.33,0.00,-0.72,-0.70,-0.67,-0.86,-0.71,-0.92,0.03
144,ENSG00000077150.18,0.00,0.00,2.39,6.74,0.00,0.37,0.30,0.14,-0.23,0.16,-0.94,0.02
145,ENSG00000138107.12,0.00,0.00,0.99,7.14,0.00,-0.94,-0.87,-0.95,-1.17,-0.93,-0.97,0.01
146,ENSG00000148798.10,0.00,0.00,0.68,11.06,0.00,0.30,0.25,0.31,-0.05,0.19,-0.93,0.02
147,ENSG00000119953.12,0.00,0.00,0.00,3.45,0.00,0.36,0.43,0.31,-0.08,0.26,-0.95,0.01
148,ENSG00000148737.16,0.00,0.00,7.03,12.77,0.00,1.34,1.32,0.92,0.68,1.08,-0.93,0.02
149,ENSG00000066468.22,0.00,0.00,3.92,5.24,0.00,9.61,9.63,9.24,9.21,9.66,-0.99,0.00
150,ENSG00000177225.16,0.00,0.00,0.50,0.00,0.00,-0.48,-0.55,-1.03,-0.31,-0.43,-0.95,0.01
151,ENSG00000167325.14,0.00,0.00,0.00,6.53,0.00,-0.40,-0.47,-0.55,-0.83,-0.33,-0.91,0.03
152,ENSG00000241008.1,0.00,0.00,0.64,0.00,0.00,1.64,1.71,0.00,1.83,1.89,-0.99,0.00
153,ENSG00000179119.14,0.00,0.00,0.00,0.37,0.00,-0.93,-0.96,-1.00,-1.30,-0.98,-0.98,0.00
154,ENSG00000110048.11,0.00,0.00,1.69,7.37,0.00,-0.42,-0.33,-0.41,-0.77,-0.45,-0.94,0.02
155,ENSG00000173898.12,0.00,0.00,0.71,15.30,0.00,6.13,6.03,5.83,5.22,5.78,-0.92,0.03
156,ENSG00000110075.14,0.00,0.00,0.00,14.66,0.00,0.55,0.43,0.44,0.21,0.53,-0.93,0.02
157,ENSG00000077514.8,0.00,0.00,1.03,4.99,0.00,0.26,0.29,0.04,-0.30,0.11,-0.95,0.01
158,ENSG00000149554.12,0.00,0.00,0.00,1.51,0.00,1.31,1.21,1.27,0.72,1.08,-0.93,0.02
