,gene,Mut-S1,Mut-S2,Mut-S3,Mut-S4,Mut-S5,DESeq-S1,DESeq-S2,DESeq-S3,DESeq-S4,DESeq-S5,Correlation,P-value
247,ENSG00000124164.15,0.00,0.00,0.00,1.61,0.00,0.20,0.10,0.04,-0.37,0.01,-0.94,0.02
248,ENSG00000272259.5,0.00,0.00,0.66,0.00,0.00,4.19,4.25,0.00,5.20,3.68,-0.96,0.01
249,ENSG00000156253.6,0.00,0.00,0.00,1.09,0.00,-2.32,-2.63,-2.47,-3.67,-2.90,-0.92,0.03
250,ENSG00000186716.20,0.00,0.00,3.56,9.76,0.00,0.72,0.80,0.70,0.34,0.71,-0.95,0.01
251,ENSG00000099991.17,0.00,0.00,2.52,17.01,0.00,-0.84,-0.89,-0.95,-1.18,-0.89,-0.98,0.00
252,ENSG00000100335.14,0.00,0.00,0.00,6.44,0.00,-0.28,-0.24,-0.17,-0.52,-0.15,-0.94,0.02
253,ENSG00000284431.1,0.00,0.00,1.97,6.52,0.00,2.39,3.06,2.61,-0.86,2.97,-0.96,0.01
254,ENSG00000196588.15,0.00,0.00,0.43,6.60,0.00,-0.32,-0.38,-0.30,-0.69,-0.45,-0.92,0.03
255,ENSG00000100227.17,0.00,0.00,0.00,0.67,0.00,0.33,0.28,0.23,-0.05,0.18,-0.92,0.03
256,ENSG00000100304.12,0.00,0.00,0.00,0.49,0.00,1.13,1.12,1.10,0.79,1.05,-0.97,0.01
257,ENSG00000188263.10,0.00,0.00,0.50,0.00,0.00,4.16,3.50,1.46,4.25,4.82,-0.93,0.02
258,ENSG00000149970.15,0.00,0.00,2.15,8.42,0.00,5.09,4.90,4.64,4.25,5.04,-0.95,0.01
259,ENSG00000102226.9,0.00,0.00,0.00,5.16,0.00,0.31,0.29,0.14,-0.16,0.34,-0.93,0.02
260,ENSG00000082458.11,0.00,0.00,3.01,18.14,0.00,2.04,2.15,1.87,1.53,1.94,-0.93,0.02
261,ENSG00000186871.6,0.00,0.00,0.00,2.01,0.00,1.27,1.30,1.22,1.02,1.28,-0.97,0.01
262,ENSG00000094841.13,0.00,0.00,0.29,2.23,0.00,0.39,0.41,0.45,-0.05,0.34,-0.95,0.01
263,ENSG00000131171.12,0.00,0.00,0.00,3.60,0.00,-1.59,-1.84,-1.77,-2.26,-1.81,-0.92,0.03
264,ENSG00000126950.7,0.00,0.00,0.00,0.91,0.00,-3.29,-3.42,-3.47,-4.01,-3.20,-0.94,0.02
265,ENSG00000101938.14,0.00,0.00,0.00,2.86,0.00,-0.56,-0.57,-0.46,-0.77,-0.55,-0.92,0.03
266,ENSG00000102024.17,0.00,0.00,0.38,7.78,0.00,0.52,0.47,0.46,0.01,0.42,-0.99,0.00
267,ENSG00000186416.13,0.00,0.00,0.68,20.97,0.00,0.28,0.25,0.14,-0.13,0.35,-0.93,0.02
268,ENSG00000241489.7,0.00,0.00,0.50,0.00,0.00,-1.38,-1.52,-2.36,-1.41,-1.61,-0.97,0.00
